version,writeTime,redimensionTime,loadTime
3,1.6694721328094602,152.44831555197015,132.35446656681597
15,1.7971882801502943,271.7055648653768,61.070085937622935
41,1.0618884433060884,206.35514742927626,91.04184286715463
57,4.19089709315449,193.4155002348125,224.8394033871591
43,1.576092611066997,416.19320016307756,95.06371023086831
27,1.059499068185687,404.1820395179093,72.19928483478725
53,5.350193921942264,852.1553311548196,362.88277141796425
13,1.154450036585331,204.28982062684372,81.36020548874512
42,1.4815059104003012,201.4627012363635,84.29352830676362
18,1.5289765461347997,293.1754478458315,106.56470964383334
68,2.724282010924071,214.26782921003178,178.8670455738902
1,1.5585519149899483,452.06463041203097,87.59005371667445
55,4.03759907418862,192.34844088321552,217.44502449641004
0,1.614134184550494,633.0403287131339,90.68741708481684
30,1.7732038693502545,432.7699274327606,127.23792019719258
71,1.2791368197649717,189.28339980868623,113.77008184138685
14,1.530546688940376,617.6710687489249,86.61916689900681
73,1.3496793382801116,138.1062046252191,119.39354454400018
63,2.705219977069646,873.4373894687742,84.76875279285014
69,1.9805879620835185,319.7180494577624,159.11759474687278
39,1.779794252011925,199.05209886515513,78.15585758537054
10,1.6276423991657794,549.578575598076,66.11098158499226
11,1.4776271157898009,287.99194866605103,75.89994830917567
65,2.8990676710382104,370.88607406802475,172.4663899219595
31,1.5237932740710676,695.9991344241425,43.74729277892038
54,5.4104231633245945,699.4348294762895,294.7919936981052
64,2.5777161619625986,863.2210985231213,153.1932895220816
60,4.014135278761387,164.21026587486267,273.49460534611717
7,1.67116042599082,212.22129560494795,136.87250349484384
75,1.3874163241125643,191.355181384366,78.03544182470068
8,1.5749812917783856,244.51558010233566,66.21162602724507
50,5.363281129859388,303.9765717270784,268.8150029857643
33,1.7994887656532228,180.22183507168666,85.00447449693456
58,4.017473890911788,600.6932077622041,261.48131317598745
6,1.2205903311260045,164.16524179000407,43.16209808876738
48,1.1522253002040088,344.5523248356767,129.12394005991518
59,4.13602615473792,1214.234036911279,279.24166838498786
29,1.4462283221073449,273.10006055934355,108.22777444310486
16,1.5265737599693239,190.52508206525818,110.58818854019046
47,1.4473359920084476,398.538686523214,74.77191756200045
44,1.6767701976932585,533.8526206146926,98.41710047889501
4,1.668271559290588,359.8398937107995,100.59220963018015
40,1.551255458034575,552.9834117610008,62.225622911937535
49,5.399380104150623,297.14410944096744,281.64493145933375
56,4.1708769160322845,1333.8238500831649,282.9416958913207
76,0.9737884276546538,285.57318859081715,90.88081111805514
17,1.4753820784389973,226.77352272020653,68.38359065493569
51,5.4625195362605155,522.6957052019425,294.2848540577106
34,1.3278591963462532,254.216350087896,97.0398448240012
45,1.4966971552930772,298.6895302920602,105.21067287074402
66,2.8126831762492657,123.41348731378093,171.42424263432622
25,1.4786724373698235,189.1241642688401,92.01297937100753
21,1.6129899439401925,257.50610625417903,80.65071247471496
26,1.5536177139729261,218.70264741778374,56.535300196148455
35,1.3980894861742854,276.1623667748645,94.89865553705022
2,1.6698805806227028,507.7408000831492,133.0390246589668
22,1.6652814880944788,369.7486054189503,135.799399189651
20,1.0698899319395423,887.3871783479117,107.52734393207356
67,2.5813910118304193,539.7072287187912,111.25805090693757
24,1.4707446438260376,482.57212290819734,61.31090497178957
46,1.5215927138924599,316.09974957536906,106.95579825108871
36,1.6514392280951142,716.939060957171,83.73704103799537
23,1.2759660421870649,264.28082845406607,78.77034968789667
74,1.3857309729792178,160.4853930133395,101.8599012219347
52,5.461335274856538,235.11753843910992,298.76157312095165
19,1.5327126989141107,691.2714429381303,122.3686184277758
5,1.56986685981974,145.15238406183198,87.68723784619942
70,1.5811987551860511,640.9121404858306,120.52392975473776
38,1.7113185520283878,353.24501781817526,73.04356592800468
72,1.4480935130268335,523.1297379140742,134.96910532703623
9,1.684620634187013,486.63254998717457,98.32405361207202
62,3.5360227348282933,308.8388748387806,206.969520481769
32,1.796354299876839,184.80809111287817,98.033138750121
28,1.5377915678545833,108.53522993717343,109.63702221820131
61,4.10564481979236,345.7302805520594,225.27083689719439
12,1.5323666390031576,323.423415184021,75.41800350416452
37,1.722493337932974,189.834101698827,79.10550619009882
